Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
39,10.06663,-0.0060,0.4129,-0.2525,351.980,6.520,358.629,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1226,0.2788,0.1333,348.170,5.307,350.849,01-08 17:52:30.051
40,10.10916,-0.0055,0.4128,-0.2524,352.266,6.761,358.427,-0.2655,0.0275,0.2762,4.203,19.299,306.779,0.1226,0.2796,0.1310,348.576,4.259,350.922,01-08 17:52:30.092
41,10.15054,-0.0051,0.4125,-0.2523,352.105,6.814,358.579,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1248,0.2824,0.1289,347.142,6.736,348.730,01-08 17:52:30.134
42,10.19226,-0.0057,0.4122,-0.2519,352.236,6.997,358.521,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1258,0.2834,0.1272,347.057,6.902,349.178,01-08 17:52:30.175
43,10.23366,-0.0063,0.4121,-0.2517,352.365,7.031,358.564,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1294,0.2874,0.1245,344.650,9.533,348.436,01-08 17:52:30.217
44,10.2755,-0.0073,0.4116,-0.2517,352.635,7.006,358.557,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1348,0.2927,0.1220,342.606,11.384,348.483,01-08 17:52:30.259
45,10.31713,-0.0085,0.4115,-0.2514,352.619,6.957,358.576,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1417,0.3006,0.1193,339.988,14.333,346.712,01-08 17:52:30.301
46,10.35932,-0.0096,0.4113,-0.2515,352.612,6.787,358.629,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1495,0.3073,0.1181,339.817,15.164,344.777,01-08 17:52:30.344
47,10.40069,-0.0105,0.4114,-0.2515,352.717,6.528,358.664,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1542,0.3156,0.1159,338.000,16.419,345.369,01-08 17:52:30.385
48,10.44208,-0.0111,0.4114,-0.2518,352.647,6.463,358.851,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1572,0.3249,0.1123,336.648,16.674,344.684,01-08 17:52:30.425
49,10.48386,-0.0116,0.4114,-0.2520,352.723,6.519,358.954,-0.2655,0.0275,0.2762,4.203,19.299,306.779,0.1592,0.3330,0.1086,334.774,16.932,344.778,01-08 17:52:30.468
50,10.52579,-0.0117,0.4114,-0.2525,352.703,6.625,359.085,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1599,0.3400,0.1045,333.116,17.513,345.192,01-08 17:52:30.510
