Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
94,34.83463,0.2908,0.7717,-0.6208,356.550,349.477,357.388,-0.1887,0.4898,-0.4822,0.384,274.739,15.104,0.5903,0.5565,-0.3255,348.583,40.809,328.191,01-08 18:53:12.389
95,34.87609,0.2903,0.7722,-0.6206,356.416,349.407,357.381,-0.1734,0.5035,-0.4666,357.390,278.781,15.219,0.5652,0.5656,-0.3179,346.252,36.303,329.178,01-08 18:53:12.430
96,34.918,0.2901,0.7725,-0.6209,356.314,349.490,357.396,-0.1522,0.5190,-0.4468,353.628,283.580,15.468,0.5320,0.5748,-0.3095,343.428,29.721,332.169,01-08 18:53:12.471
97,34.96001,0.2903,0.7728,-0.6215,356.210,349.671,357.382,-0.1270,0.5332,-0.4236,350.199,289.516,14.452,0.4964,0.5826,-0.3021,340.794,23.273,336.190,01-08 18:53:12.514
98,35.00149,0.2909,0.7737,-0.6222,355.819,350.037,357.465,-0.0903,0.5448,-0.3959,346.074,297.386,11.393,0.4546,0.5861,-0.2985,338.390,16.100,340.299,01-08 18:53:12.556
99,35.04294,0.2915,0.7746,-0.6227,355.550,350.255,357.553,-0.0523,0.5515,-0.3729,342.613,305.117,8.080,0.4181,0.5867,-0.2984,337.092,10.439,343.211,01-08 18:53:12.597
100,35.08463,0.2918,0.7752,-0.6228,355.306,350.417,357.509,-0.0115,0.5545,-0.3520,340.246,313.726,3.901,0.3824,0.5850,-0.3014,336.035,4.692,346.911,01-08 18:53:12.638
101,35.12661,0.2922,0.7759,-0.6230,354.957,350.439,357.503,0.0320,0.5514,-0.3351,338.847,324.292,358.307,0.3483,0.5798,-0.3084,335.783,357.771,350.510,01-08 18:53:12.681
102,35.16806,0.2924,0.7758,-0.6231,354.863,350.351,357.678,0.0730,0.5398,-0.3294,339.340,334.591,353.043,0.3225,0.5704,-0.3206,335.741,349.521,355.133,01-08 18:53:12.723
103,35.20973,0.2927,0.7761,-0.6233,354.579,350.343,357.969,0.1017,0.5293,-0.3269,340.402,341.288,349.969,0.3064,0.5622,-0.3294,337.006,344.705,356.946,01-08 18:53:12.764
104,35.25122,0.2931,0.7766,-0.6235,354.361,350.382,358.259,0.1195,0.5218,-0.3267,341.660,344.765,350.415,0.2995,0.5571,-0.3357,337.364,343.013,356.606,01-08 18:53:12.805
105,35.29292,0.2939,0.7768,-0.6236,354.149,350.339,358.529,0.1254,0.5178,-0.3288,341.990,346.554,349.359,0.3021,0.5556,-0.3396,337.387,341.612,356.991,01-08 18:53:12.847
106,35.33455,0.2942,0.7773,-0.6229,354.027,350.416,358.487,0.1047,0.5259,-0.3359,338.645,341.927,350.963,0.3292,0.5625,-0.3352,335.752,346.657,355.211,01-08 18:53:12.888
107,35.37567,0.2948,0.7770,-0.6226,354.237,350.469,358.695,0.0775,0.5353,-0.3414,337.996,335.466,355.766,0.3597,0.5698,-0.3280,335.281,353.153,352.043,01-08 18:53:12.930
108,35.41787,0.2955,0.7772,-0.6220,354.196,350.563,358.820,0.0433,0.5453,-0.3495,337.810,326.934,1.524,0.3964,0.5774,-0.3198,335.452,0.894,347.422,01-08 18:53:12.972
109,35.45949,0.2965,0.7765,-0.6214,354.396,350.733,358.756,0.0071,0.5542,-0.3611,337.447,318.334,6.898,0.4346,0.5831,-0.3138,335.796,9.240,343.366,01-08 18:53:13.013
110,35.50096,0.2972,0.7771,-0.6205,354.324,350.876,358.792,-0.0353,0.5574,-0.3789,339.125,310.061,11.526,0.4788,0.5856,-0.3126,336.732,18.172,338.818,01-08 18:53:13.055
111,35.54249,0.2979,0.7770,-0.6196,354.365,350.980,358.785,-0.0736,0.5568,-0.3985,340.586,301.475,14.957,0.5190,0.5849,-0.3153,338.086,26.299,334.737,01-08 18:53:13.096
112,35.58471,0.2985,0.7767,-0.6190,354.343,351.027,358.704,-0.1101,0.5513,-0.4194,343.470,293.620,17.712,0.5557,0.5807,-0.3209,339.547,34.236,332.021,01-08 18:53:13.138
